Applicant_ID,Application_Date,Gender,Race,Applied_Department,Outcome
1,2024-07-23,Female,White,Risk,Rejected
2,2024-06-17,Female,Other,IT,Interviewed
3,2022-12-19,Male,White,Finance,Rejected
4,2023-04-29,Male,Asian,Risk,Rejected
5,2025-02-20,Male,White,IT,Rejected
6,2024-02-10,Male,Hispanic,HR,Interviewed
7,2023-01-06,Female,Asian,Operations,Rejected
8,2024-10-04,Female,Hispanic,Compliance,Interviewed
9,2025-04-05,Female,White,IT,Rejected
10,2023-07-11,Female,Hispanic,Operations,Rejected
11,2023-05-03,Female,Asian,Compliance,Rejected
12,2023-10-03,Male,Asian,Retail Banking,Hired
13,2023-03-31,Male,Black,Finance,Rejected
14,2023-01-16,Female,White,IT,Interviewed
15,2023-01-14,Female,Black,Legal,Interviewed
16,2025-07-25,Male,Asian,Legal,Interviewed
17,2022-10-15,Male,Black,Compliance,Rejected
18,2024-04-14,Female,Asian,Operations,Rejected
19,2022-11-20,Female,Asian,Risk,Interviewed
20,2025-06-02,Female,Asian,IT,Rejected
21,2023-05-27,Female,White,Legal,Interviewed
22,2022-09-25,Female,Black,Finance,Interviewed
23,2022-10-28,Female,Hispanic,Retail Banking,Rejected
24,2023-05-20,Male,Black,Legal,Rejected
25,2024-01-09,Female,White,HR,Rejected
26,2022-12-03,Male,White,Legal,Rejected
27,2024-06-12,Female,Other,Compliance,Interviewed
28,2024-07-21,Male,Hispanic,Risk,Interviewed
29,2024-06-29,Female,Hispanic,Legal,Rejected
30,2022-11-29,Male,Other,HR,Interviewed
31,2022-12-18,Female,Other,HR,Hired
32,2024-02-17,Male,Black,Operations,Rejected
33,2023-01-15,Male,Black,Operations,Interviewed
34,2024-12-30,Male,Black,Legal,Interviewed
35,2024-01-21,Male,White,Retail Banking,Rejected
36,2024-09-13,Male,Asian,HR,Interviewed
37,2025-02-16,Male,Black,Finance,Rejected
38,2023-02-19,Male,Hispanic,Retail Banking,Rejected
39,2024-02-16,Male,Black,HR,Interviewed
40,2024-05-18,Female,Asian,HR,Interviewed
41,2025-04-01,Female,Black,Retail Banking,Rejected
42,2023-02-19,Male,White,Operations,Rejected
43,2023-09-02,Female,Asian,HR,Rejected
44,2023-12-21,Female,White,Compliance,Rejected
45,2024-07-29,Male,White,Compliance,Interviewed
46,2023-05-12,Male,White,IT,Interviewed
47,2024-04-29,Female,Hispanic,Legal,Rejected
48,2023-08-28,Female,Other,Finance,Interviewed
49,2025-02-13,Male,Other,HR,Interviewed
50,2023-12-29,Male,Other,IT,Interviewed
51,2024-08-17,Male,Hispanic,HR,Hired
52,2024-01-01,Female,Hispanic,Operations,Rejected
53,2023-01-20,Female,White,HR,Interviewed
54,2023-07-11,Male,Other,HR,Rejected
55,2023-03-24,Male,Other,Compliance,Rejected
56,2023-08-11,Female,Black,Operations,Rejected
57,2023-10-05,Male,Asian,Finance,Interviewed
58,2023-03-28,Female,Black,Finance,Rejected
59,2024-11-22,Male,Other,HR,Interviewed
60,2023-12-08,Female,White,Finance,Hired
61,2024-05-14,Female,White,Legal,Hired
62,2023-12-13,Female,Black,Risk,Interviewed
63,2023-12-23,Male,Asian,Legal,Rejected
64,2025-08-09,Male,Hispanic,Finance,Interviewed
65,2022-10-06,Male,Other,HR,Rejected
66,2023-06-13,Male,Other,Risk,Rejected
67,2024-08-12,Male,Other,Finance,Rejected
68,2024-06-03,Female,Hispanic,Finance,Interviewed
69,2022-12-15,Male,White,Legal,Interviewed
70,2023-05-05,Male,Asian,Operations,Rejected
71,2023-01-31,Female,White,Finance,Rejected
72,2023-11-24,Male,Hispanic,Compliance,Hired
73,2024-07-23,Male,White,Finance,Rejected
74,2023-12-30,Female,White,HR,Interviewed
75,2024-11-01,Male,Black,IT,Rejected
76,2024-08-28,Male,Hispanic,Risk,Rejected
77,2024-05-09,Male,Black,Legal,Rejected
78,2024-12-27,Female,Hispanic,Compliance,Interviewed
79,2023-09-17,Female,Other,Finance,Rejected
80,2025-04-18,Female,Black,Compliance,Rejected
81,2024-05-05,Male,Hispanic,Operations,Interviewed
82,2023-05-10,Female,Other,HR,Hired
83,2025-05-07,Male,Asian,Risk,Interviewed
84,2024-06-06,Female,Other,Risk,Rejected
85,2023-03-01,Female,Asian,Compliance,Rejected
86,2023-10-19,Male,Other,Retail Banking,Rejected
87,2025-06-11,Male,Asian,IT,Rejected
88,2022-10-17,Female,White,Compliance,Rejected
89,2022-11-30,Female,Black,Compliance,Interviewed
90,2025-08-16,Male,White,IT,Rejected
91,2023-09-06,Male,Black,Compliance,Rejected
92,2025-07-04,Male,Asian,Retail Banking,Hired
93,2023-03-29,Female,Black,HR,Interviewed
94,2025-02-04,Male,Asian,Retail Banking,Rejected
95,2024-11-26,Male,Hispanic,Legal,Rejected
96,2024-06-24,Male,Asian,IT,Rejected
97,2024-06-16,Female,Hispanic,Compliance,Interviewed
98,2024-01-24,Male,Hispanic,HR,Rejected
99,2024-06-19,Male,Black,Retail Banking,Rejected
100,2023-09-11,Female,Other,Operations,Rejected
101,2024-12-28,Female,White,Finance,Interviewed
102,2025-04-20,Male,Other,IT,Rejected
103,2025-09-10,Female,Other,Legal,Interviewed
104,2025-06-28,Male,Other,Retail Banking,Interviewed
105,2025-02-25,Female,White,HR,Rejected
106,2024-10-28,Female,Asian,Risk,Interviewed
107,2025-05-23,Male,Black,IT,Rejected
108,2025-09-01,Female,Asian,HR,Hired
109,2024-06-05,Female,Black,Risk,Interviewed
110,2024-08-15,Male,Hispanic,Compliance,Interviewed
111,2023-12-24,Female,Other,Operations,Rejected
112,2024-01-21,Female,Black,IT,Interviewed
113,2023-10-15,Female,Other,Finance,Rejected
114,2023-10-22,Female,Hispanic,Risk,Interviewed
115,2024-10-14,Female,Black,Finance,Rejected
116,2025-03-19,Female,White,Risk,Rejected
117,2024-10-26,Female,Other,Retail Banking,Rejected
118,2025-06-29,Male,Asian,Compliance,Rejected
119,2024-11-19,Female,Hispanic,Compliance,Rejected
120,2025-01-15,Female,Black,IT,Rejected
121,2023-06-22,Male,Other,Operations,Rejected
122,2025-01-31,Male,Asian,Risk,Rejected
123,2024-11-11,Female,Black,Operations,Rejected
124,2024-01-20,Female,Other,Compliance,Rejected
125,2024-02-01,Male,White,IT,Interviewed
126,2025-04-20,Female,Black,Compliance,Rejected
127,2022-09-28,Female,Other,Retail Banking,Interviewed
128,2025-06-23,Male,Other,IT,Rejected
129,2024-05-07,Male,Black,Compliance,Interviewed
130,2024-03-14,Female,Hispanic,Legal,Interviewed
131,2024-03-15,Male,Other,Retail Banking,Rejected
132,2023-05-22,Male,Asian,Finance,Rejected
133,2024-01-17,Female,White,Retail Banking,Rejected
134,2025-07-22,Male,Hispanic,IT,Interviewed
135,2024-04-08,Male,Asian,Retail Banking,Interviewed
136,2023-03-01,Male,Asian,Risk,Hired
137,2024-12-18,Female,Hispanic,Operations,Interviewed
138,2025-04-29,Female,Asian,Operations,Rejected
139,2023-02-08,Male,Asian,Risk,Interviewed
140,2024-03-14,Male,Asian,Risk,Rejected
141,2025-07-17,Male,Asian,HR,Hired
142,2024-06-26,Female,White,Legal,Rejected
143,2023-12-30,Male,Hispanic,IT,Interviewed
144,2025-04-02,Female,Other,Compliance,Rejected
145,2024-06-09,Female,White,Risk,Rejected
146,2024-03-04,Female,Hispanic,Risk,Interviewed
147,2022-12-11,Female,Hispanic,Risk,Interviewed
148,2024-07-13,Male,White,Compliance,Interviewed
149,2022-10-11,Male,White,Risk,Rejected
150,2022-11-24,Female,Black,Risk,Rejected
151,2023-12-02,Female,Asian,Retail Banking,Interviewed
152,2025-09-15,Male,Asian,Operations,Rejected
153,2023-04-19,Female,White,IT,Hired
154,2024-02-13,Male,Black,Risk,Rejected
155,2023-04-29,Female,Black,Compliance,Rejected
156,2024-09-05,Male,Hispanic,IT,Rejected
157,2024-11-29,Female,White,HR,Interviewed
158,2024-03-17,Male,Asian,HR,Rejected
159,2023-07-14,Female,Asian,HR,Interviewed
160,2025-04-09,Female,White,Risk,Rejected
161,2025-08-24,Male,White,HR,Rejected
162,2024-07-29,Female,Hispanic,Finance,Rejected
163,2024-12-27,Female,Black,IT,Rejected
164,2023-10-08,Female,Black,Compliance,Rejected
165,2025-05-21,Male,Asian,Legal,Rejected
166,2022-11-20,Male,Other,Risk,Rejected
167,2024-03-26,Female,Other,HR,Rejected
168,2024-05-28,Male,Asian,Operations,Interviewed
169,2024-02-17,Female,White,Retail Banking,Rejected
170,2023-07-01,Male,Hispanic,HR,Rejected
171,2025-04-27,Male,Other,Operations,Hired
172,2023-04-18,Other,Other,Risk,Hired
173,2023-02-19,Male,Black,Finance,Rejected
174,2024-02-01,Female,White,HR,Rejected
175,2024-11-25,Male,Black,HR,Rejected
176,2023-04-30,Male,Asian,Legal,Rejected
177,2024-05-22,Male,Black,IT,Interviewed
178,2025-08-24,Female,Asian,Operations,Rejected
179,2024-02-04,Female,Black,Finance,Hired
180,2024-04-27,Female,White,Retail Banking,Rejected
181,2023-11-27,Male,Black,Operations,Rejected
182,2024-12-10,Male,Black,HR,Rejected
183,2025-05-30,Female,White,Finance,Rejected
184,2023-12-29,Male,Asian,Risk,Rejected
185,2023-01-07,Female,Black,Operations,Interviewed
186,2023-12-12,Female,Other,HR,Rejected
187,2024-03-14,Male,White,Legal,Hired
188,2024-12-25,Female,Asian,Finance,Interviewed
189,2022-12-13,Male,Other,Finance,Rejected
190,2024-04-04,Male,Hispanic,Operations,Hired
191,2022-11-14,Male,Asian,Finance,Rejected
192,2024-03-22,Male,Black,Legal,Rejected
193,2023-07-24,Female,White,Risk,Interviewed
194,2023-11-18,Male,White,Retail Banking,Interviewed
195,2023-01-15,Female,Other,Operations,Rejected
196,2025-05-22,Male,Other,Retail Banking,Interviewed
197,2024-09-30,Other,Hispanic,Finance,Rejected
198,2023-11-24,Male,Other,IT,Rejected
199,2023-06-17,Female,Other,IT,Rejected
200,2024-01-20,Male,White,Finance,Rejected
201,2025-06-08,Male,Asian,Retail Banking,Rejected
202,2024-09-02,Male,Hispanic,Legal,Interviewed
203,2023-04-07,Female,Black,Compliance,Rejected
204,2023-09-23,Female,White,Risk,Rejected
205,2022-10-08,Male,Other,Retail Banking,Interviewed
206,2025-04-06,Female,Black,Retail Banking,Interviewed
207,2025-07-23,Female,Hispanic,IT,Rejected
208,2022-12-16,Male,White,Risk,Rejected
209,2023-02-12,Male,Black,IT,Rejected
210,2024-08-21,Male,Black,Retail Banking,Interviewed
211,2025-06-03,Male,Other,HR,Rejected
212,2025-04-28,Female,Black,HR,Interviewed
213,2025-09-05,Male,Black,Operations,Rejected
214,2025-06-27,Female,Hispanic,Risk,Rejected
215,2025-07-19,Male,Black,IT,Rejected
216,2022-11-10,Female,White,Operations,Hired
217,2022-12-26,Female,Black,IT,Rejected
218,2024-08-29,Male,Other,Risk,Interviewed
219,2022-10-13,Female,Hispanic,Risk,Interviewed
220,2023-01-25,Male,Hispanic,Finance,Rejected
221,2024-05-05,Male,Asian,Legal,Rejected
222,2024-02-14,Male,Black,Risk,Rejected
223,2023-11-05,Male,Other,Retail Banking,Interviewed
224,2023-11-13,Female,Asian,HR,Interviewed
225,2023-03-19,Male,Asian,Retail Banking,Rejected
226,2024-10-18,Female,Other,IT,Rejected
227,2023-04-02,Female,Asian,Finance,Rejected
228,2025-03-17,Male,Hispanic,Risk,Rejected
229,2025-05-11,Male,Other,Risk,Interviewed
230,2025-08-31,Male,Asian,Retail Banking,Interviewed
231,2024-06-06,Male,Hispanic,Legal,Interviewed
232,2023-11-13,Female,Asian,Risk,Rejected
233,2023-11-04,Female,White,IT,Rejected
234,2024-07-09,Male,Asian,IT,Rejected
235,2023-05-29,Female,Asian,Retail Banking,Rejected
236,2024-01-07,Male,Other,Legal,Rejected
