Hire_ID,Application_Date,Gender,Race,Applied_Department,Outcome,Hire_Date
12,2023-10-03,Male,Asian,Retail Banking,Hired,2025-01-07
31,2022-12-18,Female,Other,HR,Hired,2023-09-22
51,2024-08-17,Male,Hispanic,HR,Hired,2023-06-20
60,2023-12-08,Female,White,Finance,Hired,2024-08-18
61,2024-05-14,Female,White,Legal,Hired,2024-03-06
72,2023-11-24,Male,Hispanic,Compliance,Hired,2025-09-04
82,2023-05-10,Female,Other,HR,Hired,2024-05-27
92,2025-07-04,Male,Asian,Retail Banking,Hired,2023-09-17
108,2025-09-01,Female,Asian,HR,Hired,2022-11-04
136,2023-03-01,Male,Asian,Risk,Hired,2022-12-24
141,2025-07-17,Male,Asian,HR,Hired,2025-07-09
153,2023-04-19,Female,White,IT,Hired,2023-02-08
171,2025-04-27,Male,Other,Operations,Hired,2023-01-15
172,2023-04-18,Other,Other,Risk,Hired,2022-11-02
179,2024-02-04,Female,Black,Finance,Hired,2024-11-16
187,2024-03-14,Male,White,Legal,Hired,2023-12-01
190,2024-04-04,Male,Hispanic,Operations,Hired,2022-10-07
216,2022-11-10,Female,White,Operations,Hired,2023-04-17
254,2024-05-03,Female,Black,Risk,Hired,2023-12-09
263,2025-03-07,Male,White,Finance,Hired,2025-05-06
280,2024-03-10,Female,Asian,Legal,Hired,2023-03-15
283,2023-07-22,Male,Black,Operations,Hired,2025-01-24
285,2024-01-28,Male,Hispanic,Finance,Hired,2024-03-04
309,2022-12-01,Female,Other,Legal,Hired,2025-09-06
325,2025-08-17,Male,Black,Operations,Hired,2025-09-03
339,2025-05-04,Female,Hispanic,IT,Hired,2023-02-06
345,2024-07-23,Male,Other,HR,Hired,2025-07-15
347,2022-10-10,Female,Black,Legal,Hired,2023-07-21
351,2023-11-10,Female,Asian,Retail Banking,Hired,2025-02-12
359,2023-02-09,Female,Black,IT,Hired,2023-03-16
360,2024-06-29,Male,Hispanic,Risk,Hired,2022-09-27
381,2023-06-11,Female,Other,Finance,Hired,2022-10-13
387,2023-06-25,Female,Hispanic,Risk,Hired,2023-07-07
389,2023-02-11,Female,Hispanic,Legal,Hired,2024-08-17
391,2022-12-29,Male,Asian,Risk,Hired,2025-01-21
